id,name,isdone,spotifyid
600808,Drake,True,3TVXtAsR1Inumwj472S9r4
706819,Ed Sheeran,True,6eUKZXaKkcviH0Ku9w2n3V
823336,Ariana Grande,True,66CXWjxzNUsdJxJ2JdwvnR
1492430,Bad Bunny,True,4q3ewBCX7sLwd24euuV69X
796889,The Weeknd,True,1Xyo4u8uXC1ZmMpatF05PJ
1258907,Post Malone,True,246dkjvS1zLTtiykXe5h60
634509,Justin Bieber,True,1uNFoZAHBGtllmzznpCI3s
946,Eminem,True,7dGJo4pcD2V6oG8kP0tJRR
399541,Taylor Swift,True,06HL4z0CvFAxyc27GXpf02
803820,J Balvin,True,1vyhD5VmyZ7KMfW5gqLgo5
1025840,BTS,True,3Nrfpe0tUJi4K4DXYWgMUX
127482,Kanye West,True,5K4W6rqBFWDnAN6FQUkS6x
1361541,Billie Eilish,True,6qqNVTkY8uBg9cP3Jd7DAH
1048120,Ozuna,True,1i8SpTcr7yvPOmcqrbnVXY
1445809,Khalid,True,6LuN9FCkKOj5PcnpouEgny
1379442,XXXTENTACION,True,15UsOTVnJzReFVN1VCnxy4
1633635,Juice WRLD,True,4MCBfE4596Uoi2O4DtmEMz
2129,Coldplay,True,4gzpq5DPGxSnKTe4SA8HAU
262731,Rihanna,True,5pKCCKE2ajJHZ9KAiaK11H
894303,Travis Scott,True,0Y5tJX1MQlPlqiwlOH1tJY
870909,Imagine Dragons,True,53XhwfbYqKCa1cC15pYq2q
66179,Maroon 5,True,04gDigrS5kc9YWfZHwBETP
1290968,Dua Lipa,True,6M2wZ9GZgrQXHCFfjv46we
1137257,Shawn Mendes,True,7n2wHs1TKAczGzO7Dd2rGr
204321,Calvin Harris,True,7CajNmpbOovFoOoasH2HaY
30471,David Guetta,True,1Cs0zKBU1kc0i8ypK3B9ai
119241,Daddy Yankee,True,4VMYDCV2IEDYJArk749S6m
529750,Sam Smith,True,2wY79sveU1sp5g7SokKOiI
641206,Bruno Mars,True,0du5cEVh5yTK9QJze8zA0C
1096838,The Chainsmokers,True,69GGBxA162lTqCwzJG5jLp
192,Queen,True,1dfeR4HaWDbWqFHLkxsg1d
